Name, Type, Color, Flavor, Aroma, Alcohol Percentage (v/v), Bitterness (IBUs), Craft, ID
3 Cordilleras Blanca, Wheat Ale, Pale Yellow - Yellow, Smooth and fresh, Subtle floral notes, 4.6%, Low, Craft,1
3 Cordilleras Mulata, Amber Ale, Dark Red, Malty with caramel hints, Woody finish, 5.2%, Medium, Craft,2
3 Cordilleras Mestiza, American Pale Ale, Toasted Ochre, Citrusy taste, Floral and citrusy aromas, 4.8%, Medium, Craft,3
3 Cordilleras Negra, Stout, Black, Strong character with chocolate and coffee flavors, Coffee and cocoa aroma, 6.4%, Medium, Craft,4
3 Cordilleras Rosada, Rosé, Pale Pink, Perfect balance between sweetness and red fruits, Smooth, 3.8%, Low, Craft,5
BBC Monserrate, Red Beer, Red, Fruity with a full body, Balanced, 5.0%, High, Craft,6
BBC Cajica, Blond Beer, Blond, Smooth and refreshing, Honey sweetness, 5.3%, Medium, Craft,7
BBC Bacatá, Wheat White Beer, White, Very smooth and refreshing, Orange peels and coriander, 4.1%, Low, Craft,8
BBC Chapinero, Black Beer, Black, Robust and creamy, Toasted malt, 5.0%, Medium, Craft,9
BBC Lager, Lager, Blond, Refreshing, Light, 5.0%, Low, Craft,10
BBC Macondo, Stout, Black, Coffee infusion, Colombian Coffee, 5.0%, High, Craft,11
Delirium Tremens, Belgian Strong Ale, Pale, Fruity with spices, Yeast and fruits, 8.5%, Medium, Craft,12
Delirium Nocturnum, Belgian Dark Ale, Dark, Chocolate and caramel, Toasted malt and spices, 8.5%, Medium, Craft,13
Delirium Red, Fruit Beer, Red, Sweet cherries, Cherries and almonds, 8.0%, Low, Craft,14
Delirium Argentum, IPA, Amber, Bitter and citrusy, Hops and citrus, 7.0%, High, Craft,15
Delirium Black, Belgian Strong Dark Ale, Black, Chocolate and coffee, Dark fruits and malt, 11.0%, Medium, Craft,16
Chimay Blue, Belgian Strong Dark Ale, Dark Brown, Dark fruits and caramel, Spices and yeast, 9.0%, Medium, Craft,17
Chimay Red, Dubbel, Dark Brown, Dark fruits and caramel, Spices and yeast, 7.0%, Low, Craft,18
Chimay White, Tripel, Light Gold, Fruity and floral, Spices and yeast, 8.0%, Medium, Craft,19
Duvel, Belgian Strong Pale Ale, Light Yellow, Fruity and spicy, Belgian yeast and hops, 8.5%, Medium, Craft,20
Guinness Draught, Dry Stout, Black, Toasted and creamy, Coffee and roasted malt, 4.2%, High, Not Craft,21
Guinness Extra Stout, Irish Stout, Black, Bitter and roasted, Chocolate and coffee, 6.0%, High, Not Craft,22
Guinness Nitro IPA, Nitro IPA, Dark Amber, Fruity and bitter, Hops and citrus, 4.7%, High, Not Craft,23
Guinness Milk Stout, Sweet Stout, Black, Sweet and smooth, Chocolate and vanilla, 4.0%, Low, Not Craft,24
London Porter, English Porter, Dark Brown, Smooth and toasty, Chocolate and caramel, 5.4%, Low, Not Craft,25
Corona Extra, Pale Lager, Pale, Crisp and light, Mild hop aroma, 4.6%, Low, Not Craft,26
Budweiser, American Lager, Pale, Clean and crisp, Light floral notes, 5.0%, Medium, Not Craft,27
Heineken, Euro Pale Lager, Pale, Balanced and mild, Light malty sweetness, 5.0%, Medium, Not Craft,28
Miller Lite, Light Lager, Pale, Refreshing and light, Subtle maltiness, 4.2%, Low, Not Craft,29
Coors Light, Light Lager, Pale, Cold and clean, Faint malt sweetness, 4.2%, Low, Not Craft,30
Stella Artois, Euro Pale Lager, Pale, Crisp and slightly bitter, Floral hop aroma, 5.0%, Medium, Not Craft,31
Guinness Draught, Dry Stout, Black, Toasted and creamy, Coffee and roasted malt, 4.2%, High, Not Craft,32
Peroni Nastro Azzurro, Euro Pale Lager, Pale, Crisp and refreshing, Mild hop notes, 5.1%, Medium, Not Craft,33
Grolsch Premium Lager, Euro Pale Lager, Pale, Crisp and slightly sweet, Subtle hop aroma, 5.0%, Medium, Not Craft,34
Tennent's Lager, Euro Pale Lager, Pale, Malty sweetness, Balanced and smooth, 4.0%, Low, Not Craft,35
Belhaven Scottish Ale, Scottish Ale, Amber, Malty and caramel notes, Low hop bitterness, 5.2%, Low, Not Craft,36
Weihenstephaner Original, Munich Helles Lager, Pale, Bready and slightly sweet, Herbal hop aroma, 5.1%, Low, Not Craft,37
Paulaner Hefe-Weizen, Hefeweizen, Pale, Fruity and spicy, Banana and clove aroma, 5.5%, Low, Not Craft,38
Ayinger Celebrator Doppelbock, Doppelbock, Dark Brown, Rich and malty, Chocolate and toffee, 6.7%, Medium, Not Craft,39
Augustiner Bräu Lagerbier Hell, Munich Helles Lager, Pale, Crisp and malt-forward, Slightly bitter finish, 5.2%, Low, Not Craft,40
Poker, Pale Lager, Pale, Mild and crisp, Subtle hop notes, 4.0%, Low, Not Craft,41
Águila, Pale Lager, Pale, Refreshing and light, Slight malt sweetness, 4.0%, Low, Not Craft,42
Costeña, Vienna Lager, Amber, Malty with caramel notes, Balanced bitterness, 4.5%, Medium, Not Craft,43
Club Colombia Dorada, Pale Lager, Pale, Smooth and balanced, Mild hop character, 4.7%, Low, Not Craft,44
Club Colombia Roja, Amber Lager, Amber, Rich maltiness, Subtle toffee notes, 5.0%, Medium, Not Craft,45
Club Colombia Negra, Munich Dunkel, Dark Brown, Toasted malt flavors, Caramel and chocolate, 5.5%, Medium, Not Craft,46
Izzy, American Pale Ale, Golden, Moderate bitterness with citrus and floral aromas, 5.0%, 30, Craft,,47
Lírica, Irish Red Ale, Intense Copper Red, Caramelized flavor with a slight bitterness, 5.0%, 25, Craft,,48
Casilda, American Stout, Intense Black, Full-bodied, high notes of chocolate and coffee, 5.0%, 28, Craft,49
Mangozadera, Gose Style Beer, Citrusy with Mango Biche and Sea Salt, Very refreshing, 5.0%, Not specified, Craft,,50
Maria, Apple Cider with Blackberry, 4.0%, Not specified, Not specified, Craft,,,51
Roja Magdalena, Red Ale, Red, Malty with Crystal and chocolate malts, 5.0%, 31, Craft,,52
Ginger Honey, Modern Fusion Ale, Not specified, Perfect blend of Ginger and honey, 8.0%, 12, Craft,,53
Mango, Fruit Ale, Not specified, Refreshing with fresh Mango and coriander seed, 6.0%, 19, Craft,,54
Jamaica, Specialty Beer, Not specified, Brewed with Hibiscus flower for a tropical flavor, 8.0%, 12, Craft,,55
Summer Ale, Blond Ale, Not specified, Variety of light malts with a slight hop bitterness, 5.0%, 22, Craft,,56
Yolanda, Sweet Stout, Not specified, Tastes of caramel and nuts with toasted and chocolate malts, 7.5%, 22, Craft,,57
Hefeweizen, German Wheat Ale, Not specified, Traditional German wheat beer, very refreshing with a light body, 5.5%, 29, Craft,58
India Pale Ale, IPA, Not specified, Aromatic and intense hop flavor, high bitterness, 6.0%, 60, Craft,59
Brown Honey Ale, Ale, Not specified, Brewed with smoked and roasted malts, with a touch of honey for sweetness, 8.0%, 19, Craft,60
Escandinava Maracuyá, Blond Ale, Not specified, Citrusy aromas and flavors with moderate bitterness, 5.2%, 18, Craft,,61
Escandinava Jengibre, Blond Ale, Not specified, Herbal aromas and flavors with moderate bitterness, 4.8%, 20, Craft,,62
Escandinava Uva, Uva, With added grape wine, Sweet aroma with fruity esters, Low to moderate foam, Creamy color, Sweet grape flavor, Craft,63
Escandinava Freya, IPA, Not specified, Intense bitterness with citrus tones, 6.0%, 45, Craft,,64
Black Stout Beer & Coffee Company, Stout, Black, Chocolate and coffee notes, Wheat, 5.0%, Not specified, Craft,65
